blind_id,attack_type,environment_type,difficulty,narrative,attack_stages_and_techniques,stage_count
ADV-7C7BDA0022,Insider Threat,Cloud Infrastructure,Easy,"An insider with legitimate access to cloud infrastructure begins to gather sensitive information about the organization's cloud resources and user permissions, leveraging their knowledge to exploit vulnerabilities for personal gain.","1. Reconnaissance: T1595 Active Scanning, T1071 Application Layer Protocol | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-FD7524666E,Ransomware,Cloud Infrastructure,Easy,"An attacker targets a cloud infrastructure environment to deploy ransomware, beginning with reconnaissance to gather information about vulnerable systems and users, followed by gaining initial access through phishing, and finally executing the ransomware payload to encrypt critical data and demand a ransom.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1486 Data Encrypted for Impact",3
ADV-3FF7407018,APT,Healthcare,Easy,An advanced persistent threat actor targets a healthcare organization to exfiltrate patient data by employing a multi-stage attack starting from reconnaissance to data exfiltration.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-1DD7ACE353,Phishing,Cloud Infrastructure,Hard,"An attacker targets cloud infrastructure by conducting reconnaissance to identify potential victims, then crafts a phishing email to gain initial access, and finally escalates privileges within the cloud environment before exfiltrating sensitive data.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Privilege Escalation: T1068 Execution with Unapproved Commands, T1134 Access Token Manipulation | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-DAD5EADCE2,APT,ICS,Medium,"An advanced persistent threat (APT) group targets an industrial control system (ICS) to disrupt operations and steal sensitive data. The attackers use a multi-stage approach, beginning with reconnaissance and culminating in data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1083 File and Directory Discovery | 2. Initial Access: T1566 Phishing, T1189 Drive-by Compromise | 3. Execution: T1059 Command and Scripting Interpreter, T1203 Exploitation for Client Execution | 4. Persistence: T1078 Valid Accounts, T1136 Create Account | 5. Privilege Escalation: T1068 exploitation of Vulnerability | 6. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1560 Archive Collected Data",6
ADV-5355A1F1E7,Ransomware,ICS,Easy,"An attacker targets an Industrial Control System (ICS) environment to deploy ransomware. The attacker starts by scanning the network for vulnerabilities and then uses phishing to gain initial access. Once inside, they move laterally to find key systems and ultimately deploy ransomware to encrypt data and demand a ransom for recovery.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-BA54E05AC8,Phishing,Enterprise Network,Easy,"The Lazarus Group targets a military contractor through a phishing campaign designed to gain initial access to sensitive information. Utilizing low operational security, the group aims to establish a long-term implant for financial theft and business email compromise.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1547.001 Startup Items: Registry Run Keys / Startup Folder,4
ADV-BA4E7B1DA2,Insider Threat,Enterprise Network,Easy,"APT28 targets a legal firm to collect sensitive intellectual property and client data, leveraging insider access. The campaign is executed with low operational security, aiming for quick data exfiltration amid time pressures.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Spear Phishing Link | 3. Data Collection: T1119 Automated Exfiltration, T1074 Data Staged | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-B11D333E5C,APT,Enterprise Network,Hard,"APT41 targets a major broadcasting company to deploy persistent implants aimed at disrupting critical infrastructure. Utilizing moderate operational security, the attackers blend speed and stealth to maintain long-term access while preparing for a destructive strike.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Persistence: T1078 Valid Accounts, T1136 Create Account | 4. Command and Control: T1219 Remote Access Software, T1095 Non-Application Layer Protocol",4
ADV-4AE4310A02,Ransomware,Cloud Infrastructure,Easy,"An attacker targets a cloud infrastructure to deploy ransomware. The attack unfolds through various stages, starting from reconnaissance to finally executing the ransomware payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1486 Data Encrypted for Impact",3
ADV-B9AB760653,Phishing,Enterprise Network,Easy,An attacker conducts a phishing campaign targeting employees in an enterprise network to gain initial access and harvest credentials.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts",2
ADV-7C0666B1C3,Ransomware,Enterprise Network,Hard,"A sophisticated ransomware attack targeting an enterprise network, beginning with extensive reconnaissance and culminating in data encryption and ransom demands.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-0706623242,APT,Healthcare,Hard,An advanced persistent threat group targets a healthcare organization to steal sensitive patient data and disrupt services. The attackers employ a multi-stage approach utilizing various techniques from the MITRE ATT&CK framework to achieve their objectives.,"1. Reconnaissance: T1595 Active Scanning, T1583 Acquire Infrastructure | 2. Initial Access: T1566 Phishing, T1071 Application Layer Protocol | 3. Execution: T1059 Command and Scripting Interpreter, T1123 Audio Capture | 4. Persistence: T1078 Valid Accounts, T1136 Create Account | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",5
ADV-6485EFDE0E,Insider Threat,Cloud Infrastructure,Medium,"An insider threat actor within the organization utilizes their access to gather sensitive information and exploit cloud infrastructure for malicious purposes, ultimately leading to data exfiltration and unauthorized access to critical resources.","1. Reconnaissance: T1595 Active Scanning, T1046 Network Service Scanning | 2. Initial Access: T1078 Valid Accounts, T1098 Account Manipulation | 3. Execution: T1041 Exfiltration Over Command and Control Channel, T1059 Command and Scripting Interpreter | 4. Exfiltration: T1048 Exfiltration Over Alternative Protocol, T1567 Exfiltration Over Web Service",4
ADV-A4C91DC928,Phishing,ICS,Hard,"APT28 targets a water treatment facility using sophisticated phishing techniques to gain initial access. Their objective is to deploy ransomware for extortion, leveraging cloud service abuse and identity manipulation throughout the attack.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Info | 2. Initial Access: T1566 Phishing, T1566.001 Spear Phishing Attachment | 3. Credential Access: T1078 Valid Accounts, T1110 Brute Force | 4. Execution: T1203 Exploitation for Client Execution, T1486 Data Encrypted for Impact",4
ADV-13DF3E4B51,Phishing,Cloud Infrastructure,Medium,An attacker targets a cloud infrastructure provider using phishing techniques to gain initial access and escalate privileges.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1555 Credentials from Password Stores | 4. Privilege Escalation: T1068 Execution with Unnecessary Privileges",4
ADV-12349FFD5B,Phishing,Enterprise Network,Easy,An attacker conducts a phishing campaign targeting employees in an enterprise network to gain unauthorized access to sensitive information.,"1. Reconnaissance: T1595 Active Scanning, T1069 Permission Groups Discovery | 2. Initial Access: T1566 Phishing, T1071 Application Layer Protocol | 3. Credential Access: T1078 Valid Accounts, T1552.001 Credentials In Files",3
ADV-A72977D90D,Phishing,Cloud Infrastructure,Medium,"The Kimsuky threat actor targets a cloud-native SaaS startup through a sophisticated phishing campaign aimed at stealing credentials and sensitive intellectual property. Using social engineering tactics and deceptive emails, they gain initial access to the organization's cloud infrastructure.",1. Reconnaissance: T1595 Active Scanning | 2. Phishing: T1566.001 Phishing Link | 3. Credential Harvesting: T1078 Valid Accounts | 4. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-C4F87505FF,APT,Cloud Infrastructure,Easy,"APT29 targets a cloud-native SaaS startup to conduct a stealthy campaign aimed at financial theft through business email compromise. Utilizing sophisticated techniques, they exploit cloud services and manipulate identities to evade detection while executing their plan.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Credential Access: T1059.001 PowerShell, T1003.001 Credential Dumping: LSASS Memory | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1567.002 Exfiltration Over Web Service: Exfiltration Over Web Service",4
ADV-BE0846EFA0,APT,Healthcare,Easy,"An advanced persistent threat actor targets a healthcare organization to gain access to sensitive patient data. The attack unfolds in several stages, starting with reconnaissance and leading to data exfiltration.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1071 Application Layer Protocol | 4. Persistence: T1136 Create Account | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
ADV-9705214641,Insider Threat,ICS,Easy,"An insider with legitimate access conducts reconnaissance on the ICS network, exploits their access to gain entry, and manipulates system configurations to disrupt operations.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Impact: T1499 Endpoint Denial of Service,4
ADV-934CB0123D,APT,Enterprise Network,Easy,APT28 targets a research university to gain access to sensitive financial information and conduct business email compromise. The threat actor utilizes a variety of techniques to deliver a destructive payload aimed at financial theft.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution, T1486 Data Encrypted for Impact | 4. Impact: T1041 Exfiltration Over Command and Control Channel, T1078 Valid Accounts",4
ADV-E0507A85C4,Phishing,ICS,Hard,An attacker aims to compromise an industrial control system by leveraging a targeted phishing attack to gain unauthorized access to sensitive systems and data.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1053 Scheduled Task/Job | 5. Privilege Escalation: T1068 Execution with Unnecessary Privileges | 6. Exfiltration: T1041 Exfiltration Over Command and Control Channel",6
ADV-687E9FA263,Insider Threat,Enterprise Network,Medium,"In this scenario, an insider with access to the retail company's software supply chain is manipulated by Cozy Bear to introduce malicious code. The goal is to compromise payment processing systems and deploy ransomware to extort the company for financial gain.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact,4
ADV-4959DF6CC2,Phishing,Cloud Infrastructure,Easy,"An attacker targets employees within a cloud infrastructure company by sending a phishing email that appears to come from a trusted source, leading to credential theft and unauthorized access to cloud resources.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1003 Credential Dumping | 4. Persistence: T1136 Create Account",4
ADV-24B9D6028E,APT,Cloud Infrastructure,Hard,"An advanced persistent threat (APT) group targets a cloud infrastructure provider, aiming to gain unauthorized access and exfiltrate sensitive customer data over a prolonged period.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Information | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter, T1203 Exploitation for Client Execution | 4. Persistence: T1136 Create Account, T1098 Account Manipulation | 5. Privilege Escalation: T1068 Exploitation for Privilege Escalation | 6. Defense Evasion: T1070 Indicator Removal on Host, T1218 Signed Binary Proxy Execution | 7. Credential Access: T1003 Credential Dumping, T1555 Credentials from Password Stores | 8. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol | 9. Impact: T1499 Endpoint Denial of Service, T1561 Disk Structure Wreckers",9
ADV-2C23BDF501,Insider Threat,Healthcare,Hard,"An employee in a healthcare organization begins to exploit their privileged access to sensitive patient data for personal gain, leading to a multi-stage attack involving reconnaissance, initial access, and data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Identity Information | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",3
ADV-1EE4472C38,Phishing,Enterprise Network,Hard,"An attacker conducts a sophisticated phishing campaign targeting employees in a large enterprise. The attack begins with reconnaissance to identify potential victims, followed by crafting a convincing email to gain initial access. Once inside, the attacker escalates privileges and moves laterally within the network, ultimately aiming for data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Privilege Escalation: T1068 Exploitation for Client Execution | 4. Lateral Movement: T1021 Remote Services | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
